statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR189;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;13597;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR132;Herford - Minden-Lübbecke II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;11,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR132;Herford - Minden-Lübbecke II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;33344;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR282;Lörrach - Müllheim;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;16,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR282;Lörrach - Müllheim;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;53276;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR177;Rheingau-Taunus - Limburg;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR177;Rheingau-Taunus - Limburg;STAZG1;Staatsangehörigkeit;;Insgesamt;297352;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR150;Nordsachsen;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;5,2;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR150;Nordsachsen;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;10485;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR223;Starnberg - Landsberg am Lech;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;13,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR223;Starnberg - Landsberg am Lech;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;40800;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR115;Duisburg II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;24,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR115;Duisburg II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;62989;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR171;Lahn-Dill;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;11,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR171;Lahn-Dill;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;30104;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR239;Kulmbach;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;93,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR239;Kulmbach;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;197128;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR057;Uckermark - Barnim I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;94,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR057;Uckermark - Barnim I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;209685;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR004;Rendsburg-Eckernförde;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;6,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR004;Rendsburg-Eckernförde;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;15416;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR233;Schwandorf;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR233;Schwandorf;STAZG1;Staatsangehörigkeit;;Insgesamt;280948;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR276;Odenwald - Tauber;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;89,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR276;Odenwald - Tauber;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;246370;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR101;Wuppertal I;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR101;Wuppertal I;STAZG1;Staatsangehörigkeit;;Insgesamt;313982;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR221;Rosenheim;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;87,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR221;Rosenheim;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;276304;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR028;Delmenhorst - Wesermarsch - Oldenburg-Land;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR028;Delmenhorst - Wesermarsch - Oldenburg-Land;STAZG1;Staatsangehörigkeit;;Insgesamt;299787;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR080;Berlin-Tempelhof-Schöneberg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;18,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR080;Berlin-Tempelhof-Schöneberg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;61765;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR098;Oberbergischer Kreis;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;10,4;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR098;Oberbergischer Kreis;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;28332;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR122;Gelsenkirchen;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR122;Gelsenkirchen;STAZG1;Staatsangehörigkeit;;Insgesamt;264130;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR297;Saarlouis;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;87,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR297;Saarlouis;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;242854;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR195;Suhl - Schmalk.-Meiningen - Hildburgh. - Sonneberg;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR195;Suhl - Schmalk.-Meiningen - Hildburgh. - Sonneberg;STAZG1;Staatsangehörigkeit;;Insgesamt;274597;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR165;Vogtlandkreis;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;95,4;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR165;Vogtlandkreis;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;211214;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR206;Ludwigshafen/Frankenthal;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;21,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR206;Ludwigshafen/Frankenthal;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;68457;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR110;Viersen;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;89,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR110;Viersen;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;263722;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR016;Mecklenburgische Seenpl. I - Vorp.-Greifswald II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;95,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR016;Mecklenburgische Seenpl. I - Vorp.-Greifswald II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;244945;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR077;Berlin-Spandau - Charlottenburg Nord;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;21,3;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR077;Berlin-Spandau - Charlottenburg Nord;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;57385;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR049;Salzgitter - Wolfenbüttel;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR049;Salzgitter - Wolfenbüttel;STAZG1;Staatsangehörigkeit;;Insgesamt;263391;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR092;Köln I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;77,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR092;Köln I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;217300;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR148;Olpe - Märkischer Kreis I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;87,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR148;Olpe - Märkischer Kreis I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;240557;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR268;Schwäbisch Hall - Hohenlohe;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR268;Schwäbisch Hall - Hohenlohe;STAZG1;Staatsangehörigkeit;;Insgesamt;311323;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR183;Groß-Gerau;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;77,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR183;Groß-Gerau;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;205280;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR096;Rhein-Sieg-Kreis I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;89,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR096;Rhein-Sieg-Kreis I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;282792;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR168;Werra-Meißner - Hersfeld-Rotenburg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;9,3;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR168;Werra-Meißner - Hersfeld-Rotenburg;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;20173;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR256;Oberallgäu;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;88,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR256;Oberallgäu;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;263040;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR272;Karlsruhe-Land;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR272;Karlsruhe-Land;STAZG1;Staatsangehörigkeit;;Insgesamt;289486;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR227;Landshut;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;13,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR227;Landshut;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;46319;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR169;Schwalm-Eder;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;91,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR169;Schwalm-Eder;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;214894;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR084;Berlin-Marzahn-Hellersdorf;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR084;Berlin-Marzahn-Hellersdorf;STAZG1;Staatsangehörigkeit;;Insgesamt;270010;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR241;Erlangen;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;14,2;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR241;Erlangen;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;36570;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR154;Meißen;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;4,1;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR154;Meißen;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;9770;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR199;Mosel/Rhein-Hunsrück;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR199;Mosel/Rhein-Hunsrück;STAZG1;Staatsangehörigkeit;;Insgesamt;221144;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR286;Schwarzwald-Baar;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR286;Schwarzwald-Baar;STAZG1;Staatsangehörigkeit;;Insgesamt;231003;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR031;Mittelems;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR031;Mittelems;STAZG1;Staatsangehörigkeit;;Insgesamt;321118;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR130;Gütersloh I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;85,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR130;Gütersloh I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;275845;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR203;Montabaur;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;90,5;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR203;Montabaur;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;252352;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR109;Krefeld I - Neuss II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;86,2;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR109;Krefeld I - Neuss II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;236870;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR175;Hochtaunus;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;14,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR175;Hochtaunus;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;37926;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR237;Coburg;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR237;Coburg;STAZG1;Staatsangehörigkeit;;Insgesamt;192143;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR190;Jena - Sömmerda - Weimarer Land I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;92,4;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR190;Jena - Sömmerda - Weimarer Land I;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;235119;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR207;Neustadt - Speyer;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;88,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR207;Neustadt - Speyer;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;255321;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR286;Schwarzwald-Baar;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;16,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR286;Schwarzwald-Baar;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;38285;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR219;München-West/Mitte;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR219;München-West/Mitte;STAZG1;Staatsangehörigkeit;;Insgesamt;380202;Anzahl;PRS018;Personen;e
